Sentence,Label
They uncovered the following relationships:,0
The Late Latin word may be derived from an unidentified African language.,1
"They are found mainly on the toes and metatarsus, but may be found further up on the ankle in some birds.",0
They communicate by sending a specific scent using their scent glands and also show body language to express how they are feeling.,0
"Their scent glands can also be used to mark their territories, their babies, or their mate.",0
": 208  Nose-to-nose touching is also a common greeting and may be followed by social grooming, which is solicited by one of the cats raising and tilting its head.Purring may have developed as an evolutionary advantage as a signaling mechanism of reassurance between mother cats and nursing kittens, who are thought to use it as a care-soliciting signal.",1
"In ancient Mesopotamia, from the Old Babylonian period until the Neo-Babylonian, dogs were the symbol of Ninisina, the goddess of healing and medicine, and her worshippers frequently dedicated small models of seated dogs to her.",0
Their alternative definition is synonymous to Avifilopluma.,0
"The rabbit (as a swift prey animal) is also known for its speed, agility, and endurance, symbolized (for example) by the marketing icons the Energizer Bunny and the Duracell Bunny.",0
The distribution pattern of these feather tracts (pterylosis) is used in taxonomy and systematics.,0
"Gassing (fumigation of warrens), barriers (fences), shooting, snaring, and ferreting have been used to control rabbit populations, but the most effective measures are diseases such as myxomatosis (myxo or mixi, colloquially) and calicivirus.",0
"Such projects have produced some successes; one study estimated that conservation efforts saved 16 species of bird that would otherwise have gone extinct between 1994 and 2004, including the California condor and Norfolk parakeet.Human activities have allowed the expansion of a few temperate area species, such as the barn swallow and European starling.",0
"After the government 'strongly encouraged' citizens to turn in their pets, approximately 3,000 people joined underground activities to promote the adoption of abandoned hamsters throughout the city and to maintain pet ownership via methods such as the forgery of pet store purchase receipts.",0
doi:10.1093/acprof:oso/9780199295852.001.0001.,0
"The association between dog ownership and adult physical activity levels has been reviewed by several authors.The health benefits of dogs can result from contact with dogs in general, not solely from having dogs as pets.",0
Bird biogeography,0
Cats and many other animals have a Jacobson's organ in their mouths that is used in the behavioral process of flehmening.,1
"Jones, Arthur F.; Hamilton, Ferelith (1971).",0
"Compared with other vertebrates, birds have a body plan that shows many unusual adaptations, mostly to facilitate flight.",0
The forelimbs are modified into wings.,0
"Other domestic rabbit breeds have been developed primarily for the commercial fur trade, including the Rex, which has a short plush coat.",0
"In addition to dogs' role as companion animals, dogs have been bred for herding livestock (collies, sheepdogs), hunting (hounds, pointers) and rodent control (terriers).",0
The atrium and ventricles of each side are separated by atrioventricular valves which prevent back flow from one chamber to the next during contraction.,0
High-Resolution Images of the Cat Brain,1
Flightlessness is almost exclusively correlated with gigantism due to an island's inherent condition of isolation.,0
Behavioral scientists have uncovered a surprising set of social-cognitive abilities in domestic dogs.,0
"Swans, for instance, may strike with the bony spurs and bite when defending eggs or young.",0
"In a study of Boxer litters, 22% of puppies died before reaching 7 weeks of age.",0
"The first large, diverse lineage of short-tailed avialans to evolve were the Enantiornithes, or ""opposite birds"", so named because the construction of their shoulder bones was in reverse to that of modern birds.",0
"Some Western writers have stated Muhammad had a favorite cat, Muezza.",1
"The consensus view in contemporary palaeontology is that the flying theropods, or avialans, are the closest relatives of the deinonychosaurs, which include dromaeosaurids and troodontids.",0
"The Dingo Debate: Origins, Behaviour and Conservation.",0
"Cats also engage in play fighting, with each other and with humans.",1
"Their body language, including position of ears and tail, relaxation of the whole body, and kneading of the paws, are all indicators of mood.",1
Dogs are also associated with the Greek goddess Hecate.,0
Irruptive species such as the boreal finches are one such group and can commonly be found at a location in one year and absent the next.,0
"Loons, diving ducks, penguins and auks pursue their prey underwater, using their wings or feet for propulsion, while aerial predators such as sulids, kingfishers and terns plunge dive after their prey.",0
"Domestic cats are a contributing factor to the decline of many species, a factor that has ultimately led, in some cases, to extinction.",1
"Results of phylogenetic research shows that the wild members of this genus evolved through sympatric or parapatric speciation, whereas the domestic cat evolved through artificial selection.",1
This occurs even when hamsters are kept as pets and is related to an increase in exercise.,0
"The doe (mother) is aware that she gives off scent which can attract predators, so she will stay away from the nest to avoid putting the kits (babies) in danger, returning the nest only a few times a day to feed the kits.Rabbits survive predation by burrowing (some species), hopping away in a zig-zag motion, and, if captured, delivering powerful kicks with their hind legs.",0
"This is thought to date back to early times in the local quarrying industry, where, to save space, extracted stones that were not fit for sale were set aside in what became tall, unstable walls.",0
"The atrium walls tend to be thinner than the ventricle walls, due to the intense ventricular contraction used to pump oxygenated blood throughout the body.",0
Hamster shows,0
It is often required that a cat must be healthy and vaccinated in order to participate in a cat show.,1
"The three basic skull shapes are the elongated dolichocephalic type as seen in sighthounds, the intermediate mesocephalic or mesaticephalic type, and the very short and broad brachycephalic type exemplified by mastiff type skulls.",0
"The bones of the hind limbs consist of long bones (the femur, tibia, fibula, and phalanges) as well as short bones (the tarsals).",0
"In the United Kingdom, fresh rabbit is sold in butcher shops and markets, and some supermarkets sell frozen rabbit meat.",0
"If a male attempts to mate with her at this point, the female attacks him.",1
The most striking example of this dispersal is that of the numerous modern breeds of European lineage during the Victorian era.,0
Relationships among hamster species,0
"It has a strong, flexible body, quick reflexes, sharp teeth, and its night vision and sense of smell are well developed.",1
House cats often mate with feral cats.,1
"They are usually ready to mate between early February and August in northern temperate zones and throughout the year in equatorial regions.Several males, called tomcats, are attracted to a female in heat.",1
"Therefore, when drinking they lap with the tongue to draw liquid upward into their mouths.",1
The Internet Bird Collection – A free library of videos of the world's birds,0
"Wolves: Behavior, Ecology, and Conservation.",0
"Famous feral cat colonies are found in Rome around the Colosseum and Forum Romanum, with cats at some of these sites being fed and given medical attention by volunteers.Public attitudes toward feral cats vary widely, from seeing them as free-ranging pets to regarding them as vermin.Some feral cats can be successfully socialized and 're-tamed' for adoption; young cats, especially kittens and cats that have had prior experience and contact with humans are the most receptive to these efforts.",1
The cecotropes are then absorbed in the small intestine to utilize the nutrients.,0
Species P. sungorus—Djungarian hamster or winter-white Russian dwarf hamster,0
"As with other prey animals, rabbits often sleep with their eyes open, so that sudden movements will awaken the rabbit to respond to potential danger.",0
Notes,0
ISBN 978-0-7525-8018-0.,0
Social systems,0
"In Hindu mythology, Yama, the god of death, owns two watchdogs named Shyama and Sharvara who have four eyes.",0
North American Birds for Kids Archived 9 August 2010 at the Wayback Machine,0
The laryngeal muscles in control of the glottis are thought to be driven by a neural oscillator which generates a cycle of contraction and release every 30–40 milliseconds (giving a frequency of 33 to 25 Hz).Domestic cats observed in a rescue facility have total of 276 distinct facial expressions based on 26 different facial movements; each facial expression corresponds to different social functions that are likely influenced by domestication.,1
Wild leporids comprise a small portion of global rabbit-meat consumption.,0
"In 1994, the countries with the highest consumption per capita of rabbit meat were Malta with 8.89 kg (19.6 lb), Italy with 5.71 kg (12.6 lb), and Cyprus with 4.37 kg (9.6 lb), falling to 0.03 kg (0.07 lb) in Japan.",0
"A female rabbit who has been neutered before reaching sexual maturity will not develop a dewlap, and even if a doe is neutered after developing a dewlap, the dewlap will gradually disappear over several months.",0
"Males within Palaeognathae (with the exception of the kiwis), the Anseriformes (with the exception of screamers), and in rudimentary forms in Galliformes (but fully developed in Cracidae) possess a penis, which is never present in Neoaves.",0
Most adult cats are lactose intolerant; the sugar in milk is not easily digested and may cause soft stools or diarrhea.,1
"Many species of birds are economically important as food for human consumption and raw material in manufacturing, with domesticated and undomesticated birds being important sources of eggs, meat, and feathers.",0
"With the exception of pigeons and a few other species, the eyelids of birds are not used in blinking.",0
"Most dogs naturally have 26 vertebrae in their tails, but some with naturally short tails have as few as three.The dog's skull has identical components regardless of breed type, but there is significant divergence in terms of skull shape between types.",0
"They, however, possess taste bud receptors specialized for acids, amino acids like protein, and bitter tastes.",1
OCLC 904338888.,0
Human activities have caused population decreases or extinction in many bird species.,0
Over 130 avian species around the world engage in sexual interactions between the same sex or homosexual behaviours.,0
The Nubian word kaddîska 'wildcat' and Nobiin kadīs are possible sources or cognates.,1
"For instance, in Mediterranean Europe, rabbits are the main prey of red foxes, badgers, and Iberian lynxes.",0
"Gestation lasts 16 to 18 days for Syrian hamsters, 18 to 21 days for Russian hamsters, 21 to 23 days for Chinese hamsters and 23 to 30 for Roborovski hamsters.",0
Several natural behaviors and characteristics of wildcats may have pre-adapted them for domestication as pets.,1
"Sylvilagus includes 13 wild rabbit species, among them the seven types of cottontail.",0
The hind limbs of the rabbit are longer than the front limbs.,0
"By the 2000s, discoveries in the Liaoning Province of northeast China, which demonstrated many small theropod feathered dinosaurs, contributed to this ambiguity.",0
After receiving the energy.,0
"""Cat, Domestic, The"" .",1
"CSIRO Publishing, Melbourne, Australia.",0
It also secretes and perceives pheromones.,1
"Particularly significant are the development of an enlarged, keeled sternum and the alula, and the loss of grasping hands.",0
"They select food based on its temperature, smell and texture; they dislike chilled foods and respond most strongly to moist foods rich in amino acids, which are similar to meat.",1
"Blood moves through the arteries, which undergo vasoconstriction, and into arterioles which act as a transportation system to distribute primarily oxygen as well as nutrients to all tissues of the body.",0
The feline ASIP gene consists of three coding exons.,1
"Most breeds were derived from small numbers of founders within the last 200 years, and since then dogs have undergone rapid phenotypic change and were formed into today's modern breeds due to artificial selection imposed by humans.",0
"Followers of the custom claim this is done to ensure good health by balancing one's gi, or the body's vital energy.",0
"Some other symptoms are abdominal pain, loss of coordination, collapse, or death.Dogs are also vulnerable to some of the same health conditions as humans, including diabetes, dental and heart disease, epilepsy, cancer, hypothyroidism, and arthritis.",0
Claws,1
Dogs have been described as omnivores.,0
"In 2013, the estimated global dog population was between 700 million and 987 million.",0
"Instead, they have coarse compressed hair that offers protection.",0
He inferred the names of novel things by exclusion learning and correctly retrieved those new items immediately and four weeks after the initial exposure.,0
"Rabbits are often used as a symbol of fertility or rebirth, and have long been associated with spring and Easter as the Easter Bunny.",0
See also,0
Bibliography,0
"It averages about 46 cm (18 in) in head-to-body length and 23–25 cm (9.1–9.8 in) in height, with about 30 cm (12 in) long tails.",1
This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey.,1
In music,0
This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping.,1
"Much of the continent has just one species of rabbit, the tapeti, while most of South America's Southern Cone is without rabbits.",0
"As with many canids, one of the primary functions of a dog's tail is to communicate their emotional state, which can be crucial in getting along with others.",0
"The domestic cat has rather poor color vision and only two types of cone cells, optimized for sensitivity to blue and yellowish green; its ability to distinguish between red and green is limited.",1
Rabbits do not have paw pads on their feet like most other animals that use digitigrade locomotion.,0
"Even these species, however, tend to have a single oviduct.",0
ISBN 978-0-521-42537-7.,0
"One study of canine cognitive abilities found that dogs' capabilities are no more exceptional than those of other animals, such as horses, chimpanzees, or cats.",0
"They are extremely susceptible to rapid temperature changes and drafts, as well as extreme heat or cold.",0
This is a mucus-covered pouch that allows parents to either dispose of the waste outside the nest or to recycle the waste through their own digestive system.,0
"These genes have been shown to affect the catecholamine synthesis pathway, with the majority of the genes affecting the fight-or-flight response (i.e., selection for tameness) and emotional processing.",0
"But in order to get nutrients out of hard to digest fiber, rabbits ferment fiber in the cecum (in the GI tract) and then expel the contents as cecotropes, which are reingested (cecotrophy).",0
"The origin of the English word cat, Old English catt, is thought to be the Late Latin word cattus, which was first used at the beginning of the 6th century.",1
Feather care,0
Striped hyenas are known to kill dogs in their range.,0
"In addition, many species of birds regurgitate pellets.It is a common but not universal feature of altricial passerine nestlings (born helpless, under constant parental care) that instead of excreting directly into the nest, they produce a fecal sac.",0
"By the end of the Western Roman Empire in the 5th century, the Egyptian domestic cat lineage had arrived in a Baltic Sea port in northern Germany.The leopard cat (Prionailurus bengalensis) was tamed independently in China around 5500 BC.",1
Recreational birdwatching is an important part of the ecotourism industry.,0
": 35  Having a cat neutered confers some health benefits such as greater life expectancy and decreased incidence of neoplasia; however neutering decreases metabolism and, increases food intake, both of these cause obesity to be a predisposition for neutered cats.",1
"Researchers have tested dogs' ability to perceive information, retain it as knowledge, and apply it to solve problems.",0
"Hamsters are rodents (order Rodentia) belonging to the subfamily Cricetinae, which contains 19 species classified in seven genera.",0
"In German, the verb hamstern is derived from Hamster.",0
The orbital cavities that house the eyeballs are large and separated from each other by a bony septum (partition).,0
"Domesticated rabbits with a diet lacking in high fiber sources, such as hay and grass, are susceptible to potentially lethal gastrointestinal stasis.",0
"Females are generally the ones that drive partner selection, although in the polyandrous phalaropes, this is reversed: plainer males choose brightly coloured females.",0
"Birdlife International – Dedicated to bird conservation worldwide; has a database with about 250,000 records on endangered bird species.",0
"Outdoor cats are active both day and night, although they tend to be slightly more active at night.",1
Mating systems vary across bird families but variations within species are thought to be driven by environmental conditions.,0
"The timing of cats' activity is quite flexible and varied but being low-light predators, they are generally crepuscular, which means they tend to be more active near dawn and dusk.",1
Hamster show,0
Analysis of mitochondrial DNA of all Felidae species indicates a radiation at 6.46 to 16.76 million years ago.,1
Stories of dogs guarding the gates of the underworld recur throughout Indo-European mythologies and may originate from Proto-Indo-European religion.,0
p. 482.,0
"Over 40% of key traits found in modern birds evolved during the 60 million year transition from the earliest bird-line archosaurs to the first maniraptoromorphs, i.e.",0
"Rabbits commonly smell the ground first, then tilt their head to the side with a subtle jerky movement in order to lie down to its side, which exposes their belly.",0
"At first, the female rejects the male, but eventually, the female allows the male to mate.",1
"Based on limited data, it is estimated that 13–16 million dogs are killed and consumed in Asia every year.",0
"The typical lifespan of dogs varies widely among breeds, but the median longevity (the age at which half the dogs in a population have died and half are still alive) ranges from 10 to 13 years.",0
"Dog meat is consumed in some East Asian countries, including Korea, China, Vietnam and the Philippines, which dates back to antiquity.",0
"One study demonstrated that children with ADHD and conduct disorders who participated in an education program with dogs and other animals showed increased attendance, increased knowledge and skill objectives and decreased antisocial and violent behavior compared with those not in an animal-assisted program.",0
 Animal Care at Wikibooks,1
"Many types of avian sexual selection have been identified; intersexual selection, also known as female choice; and intrasexual competition, where individuals of the more abundant sex compete with each other for the privilege to mate.",0
"They also excrete creatine, rather than creatinine like mammals.",0
Competitors and predators,0
Neutering,0
Jewish law requires Jews to feed dogs (and other animals that they own) before themselves and make arrangements for feeding them before obtaining them.,0
"In the early 1980s, it was about seven years,: 33  rising to 9.4 years in 1995: 33  and an average of about 13 years as of 2014 and 2023.",1
"As both species are small aerial and canopy foraging omnivores, a similar ecological niche was inferred for this hypothetical ancestor.",0
"After mating, the female cleans her vulva thoroughly.",1
The rest of the outer ear has bent canals that lead to the eardrum or tympanic membrane.,0
"If housed together, acute and chronic stress might occur, and they might fight fiercely, sometimes fatally.",0
Biodiversity Heritage Library bibliography for Canis lupus familiaris,0
Costs of flocking include bullying of socially subordinate birds by more dominant birds and the reduction of feeding efficiency in certain cases.,0
"Depending on the taxonomic viewpoint, the number of known living bird species is around 10,906 although other sources may differ in their precise number.",0
Some birds carry water for chicks at the nest in their crop or regurgitate it along with food.,0
"Based on fossil and biological evidence, most scientists accept that birds are a specialised subgroup of theropod dinosaurs and, more specifically, members of Maniraptora, a group of theropods which includes dromaeosaurids and oviraptorosaurs, among others.",0
"Evolution has favored rabbits having shorter ears, so the larger surface area does not cause them to lose heat in more temperate regions.",0
"This surgery also prevents undesirable sex-related behavior, such as aggression, territory marking (spraying urine) in males and yowling (calling) in females.",1
They tend to learn similar noises and begin to know the sound of their food and even their owner's voice.,0
List of individual birds,0
"In Japan, the maneki neko cat is a symbol of good fortune.",1
Seabirds can drink seawater and have salt glands inside the head that eliminate excess salt out of the nostrils.Most birds scoop water in their beaks and raise their head to let water run down the throat.,0
The Symbolism of Rabbits and Hares[usurped],0
"Because of its retractable claws, it is adapted to killing small prey like mice and rats.",1
Female cats also fight over territory or to defend their kittens.,1
"Instead the eye is lubricated by the nictitating membrane, a third eyelid that moves horizontally.",0
The frequency and size of meals varies between individuals.,1
"The heart itself is divided into a right and left half, each with an atrium and ventricle.",0
A group of burrows is called a warren.More than half the world's rabbit population resides in North America.,0
The most basal deinonychosaurs were very small.,0
"Of the twenty-one amino acids common to all life forms (including selenocysteine), dogs cannot synthesize ten: arginine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine.",0
The hind feet have four long toes that allow for this and are webbed to prevent them from spreading when hopping.,0
Female Chinese and Syrian hamsters are known for being aggressive toward males if kept together for too long after mating.,0
"A black dog is also considered to be the vahana (vehicle) of Bhairava (an incarnation of Shiva).In Christianity, dogs represent faithfulness.",0
This varies depending on breed.,1
History and mythology,1
"Felis daemon proposed by Konstantin Satunin in 1904 was a black cat from the Transcaucasus, later identified as a domestic cat.In 2003, the International Commission on Zoological Nomenclature ruled that the domestic cat is a distinct species, namely Felis catus.",1
Health risks,0
Most birds are highly adapted for rapid digestion to aid with flight.,0
Some domesticated rabbits might thump to get their owner's attention.,0
"Increasingly, human family-members engage in activities centered on the dog's perceived needs and interests, or in which the dog is an integral partner, such as dog dancing and dog yoga.According to statistics published by the American Pet Products Manufacturers Association in the National Pet Owner Survey in 2009–2010, an estimated 77.5 million people in the United States have pet dogs.",0
Genus Mesocricetus—golden hamsters,0
Bird eggs are usually laid in a nest.,0
"Complementing these muscles are the hamstrings, which aid in short bursts of action.",0
"Animal-assisted intervention research has shown that animal-assisted therapy with a dog can increase social behaviors, such as smiling and laughing, among people with Alzheimer's disease.",0
"This communication can be very complex; some species can operate the two sides of the syrinx independently, allowing the simultaneous production of two different songs.",0
The postcava receives blood from the limbs via the renal portal system.,0
As blood travels through the venules to the veins a funneling occurs called vasodilation bringing blood back to the heart.,0
Some species such as pigeons and some psittacine species do not have a gallbladder.,0
"""Bird"" at the Encyclopedia of Life",0
The European rabbit has been introduced to many places around the world.,0
